id,lat,lon,Name,Count
0,45.52976024,-122.6966429,NW 22nd at Lovejoy,9800
52,45.52507854,-122.6775563,NW Broadway at Everett,18816
1,45.5229406,-122.6886019,,494
5,45.52247868,-122.6732969,SW 3rd at Ankeny,25054
2,45.5216215,-122.6824147,,348
84,45.52196048,-122.6896772,SW Morrison at 18th,23204
3,45.51928859,-122.6792488,SW Morrison at Pioneer Courthouse Sq.,19758
78,45.53080401,-122.6844227,NW 13th at Marshall,31778
4,45.531477,-122.6844821,,1994
127,45.5360712,-122.6852715,,7033
87,45.52175423,-122.6810794,SW 10th at Stark,16238
6,45.50971347,-122.6777159,SW Harrison at 1st,8603
34,45.49913657,-122.6716433,SW Moody at Aerial Tram Terminal,33646
7,45.5230037,-122.6658179,,428
219,45.5171999,-122.6772947,,913
8,45.5230012,-122.6656734,,12
9,45.52373453,-122.6372065,NE 28th at Couch - Community Corral,4296
22,45.51222277,-122.6454261,SE Hawthorne at 20th,8524
10,45.5193178,-122.636005,,141
146,45.51202353,-122.6363119,SE 29th at Hawthorne,6962
11,45.514975,-122.623157,SE Taylor at Chavez,1839
124,45.50512504,-122.6533681,SE Elliott at Division,11881
12,45.5211726,-122.6763654,SW 5th at Oak,20152
270,45.5123205,-122.6789108,SW Market at Keller Fountain Park,10946
13,45.52487653,-122.6965141,NW Everett at 22nd,21062
16,45.52269855,-122.6587513,SE 7th at Burnside,8463
14,45.55905507,-122.6427104,NE Alberta at 22nd - Community Corral,3340
15,45.54828551,-122.6508106,NE Fremont at 15th - Community Corral,2867
321,45.5590859,-122.6468005,,192
100,45.52389222,-122.6721825,NW Couch at 2nd,7465
17,45.51592353,-122.6833123,SW Park at Portland Art Museum,12012
18,45.51633325,-122.6566324,SE 9th at Belmont,13484
180,45.513661,-122.6587152,,207
19,45.50356665,-122.6395279,SE Clinton at 26th,7989
175,45.53027884,-122.654669,NE 11th at Holladay Park,9232
20,45.5193416,-122.6516153,,1451
510,45.4960484,-122.6396204,,147
21,45.5286366,-122.6820195,NW Johnson at Jamison Square,21094
282,45.51609691,-122.6790771,SW 5th at Main,12767
23,45.52331306,-122.6932633,NW 20th at Burnside,15055
69,45.53409115,-122.6949424,NW Raleigh at 21st,23311
24,45.52286956,-122.6789859,SW Park at W Burnside,6285
986,45.520955,-122.6827754,,455
25,45.5356655,-122.6897069,,293
254,45.5230283,-122.6784644,,3010
26,45.5590949,-122.6682902,,309
135,45.55522233,-122.6818612,N Prescott at Interstate,3863
27,45.5265471,-122.6812493,,370
28,45.52358836,-122.6619177,NE Couch at MLK,7572
167,45.52374151,-122.6818129,NW Couch at 11th,29201
29,45.5279666,-122.6813021,,637
97,45.53083126,-122.6815957,NW Marshall at Tanner Springs Park,17533
30,45.5293888,-122.6813526,,2443
31,45.5282777,-122.6766282,NW Station at Irving,13654
85,45.52634601,-122.6941484,NW Glisan at 21st,15837
32,45.52556242,-122.6892561,NW 18th at Flanders,12483
33,45.523601,-122.6455064,,18
177,45.52440674,-122.6497686,NE Sandy at 16th,8033
93,45.52297292,-122.6434118,NE 22nd at Burnside,8440
35,45.50910258,-122.6735169,SW River at Montgomery,31227
158,45.51556831,-122.6738924,SW Salmon at Waterfront Park,46690
36,45.5142926,-122.6863885,,1786
38,45.51544427,-122.6846749,SW 10th at Columbia,9312
37,45.5252069,-122.6765159,,3834
131,45.5033655,-122.6447314,SE Clinton at 21st,10883
39,45.5145332,-122.678756,,318
40,45.52914205,-122.6987028,NW Kearney at 23rd,15438
41,45.53142501,-122.6895659,NW 18th at Northrup,14920
75,45.52279251,-122.6840124,SW Stark at Burnside,13469
42,45.5175854,-122.6759187,,2177
111,45.522987,-122.6811288,,2012
43,45.5626816,-122.6848305,,109
61,45.5645168,-122.6875268,,110
44,45.51803882,-122.6755822,SW 3rd at Morrison,17783
45,45.52536699,-122.6725459,NW 2nd at Everett,18478
46,45.5169265,-122.6762728,,417
47,45.5106886,-122.6843287,,1823
77,45.53211645,-122.6986304,NW 23rd at Overton,13667
48,45.55941042,-122.6685226,N Vancouver at Alberta,4849
63,45.52269573,-122.6703492,SW Naito at Ankeny Plaza,28528
49,45.51898132,-122.6812685,SW Yamhill at Director Park,18817
50,45.5248422,-122.6964086,,1528
121,45.52579919,-122.6855063,NW Flanders at 14th,19178
51,45.5180198,-122.6803585,,939
99,45.53550403,-122.7006608,NW Thurman at 24th,13363
473,45.5252254,-122.6755017,,2176
65,45.53232501,-122.6824299,NW 11th at The Fields,20063
53,45.55907103,-122.6475437,NE Alberta at 17th - Community Corral,2396
71,45.5411956,-122.6970244,,42
54,45.52871176,-122.674166,NW Naito at Ironside,17094
55,45.524531,-122.6744613,,860
56,45.5120818,-122.6533493,SE Ladd at Hawthorne,20866
140,45.5120624,-122.6276497,,181
57,45.523086,-122.6754201,,2540
1994,45.512903,-122.6455729,,22
58,45.5238182,-122.674435,,939
107,45.52142066,-122.6726291,SW 2nd at Pine,21889
59,45.49429475,-122.6719048,SW Moody at Thomas,10719
60,45.4939765,-122.6719911,,168
62,45.5264728,-122.685306,,2630
117,45.5314984,-122.6566013,,1044
64,45.50468892,-122.6345551,SE 30th at Division,9271
88,45.4889978,-122.6524101,,52
66,45.5299294,-122.6753219,,2642
67,45.51636144,-122.6460457,SE Belmont at 20th,6308
68,45.5164686,-122.6455714,,248
70,45.52862062,-122.6905073,NW 19th at Johnson,14395
72,45.5251214,-122.6811966,,427
110,45.53508224,-122.6505639,NE 15th at Broadway,9749
73,45.5129442,-122.657744,,804
74,45.52500056,-122.6811048,NW 10th at Everett,12691
89,45.5343597,-122.663693,,281
76,45.53146071,-122.659741,NE Multnomah at Grand,4860
82,45.53496857,-122.653631,NE Broadway at 12th,6196
624,45.5202589,-122.6744682,,1317
145,45.51515295,-122.665776,SE Water at Taylor,13830
79,45.53086696,-122.6658887,NE Wheeler at Multnomah,11169
80,45.5307576,-122.6662351,,368
81,45.5186858,-122.6799961,,2285
83,45.51889487,-122.6774061,SW 5th at Morrison,22017
96,45.5048638,-122.6547574,,915
495,45.5244572,-122.670218,,1216
86,45.54998583,-122.6756573,N Mississippi at Beech,12010
104,45.54179953,-122.6614845,NE MLK at Knott,10912
101,45.522513,-122.6702589,,3590
106,45.5251399,-122.6801824,,1993
344,45.56197102,-122.6820369,N Interstate at Willamette - Community Corral,898
91,45.5315321,-122.6814345,,2084
194,45.5370647,-122.6870447,,889
92,45.5072427,-122.658757,,74
94,45.5343706,-122.6667376,,696
95,45.52826831,-122.6945615,NW 21st at Johnson,10768
163,45.5178988,-122.6600522,SE Alder at 6th,10575
98,45.5315127,-122.6824564,,1560
102,45.55335313,-122.6669146,N Mason at Williams,7243
144,45.5475928,-122.6667604,N Williams at Fremont,13126
103,45.5314262,-122.6875304,,195
105,45.5239044,-122.6702935,,1073
602,45.5260135,-122.670676,,165
112,45.5252863,-122.6724697,,1994
108,45.5209254,-122.6741073,,1390
120,45.5231234,-122.6713456,,2921
109,45.51184309,-122.68372,SW Broadway at Smith Memorial Student Union,13891
128,45.5193484,-122.653644,,1399
113,45.5048393,-122.6296306,SE 34th at Division,9791
157,45.5088042,-122.6655893,,1772
114,45.5258352,-122.6706897,,44
115,45.5024783,-122.6723477,,834
116,45.51782551,-122.6724963,SW Naito at Morrison,22127
173,45.5165284,-122.6607669,,103
118,45.55913676,-122.6554307,NE Alberta at 10th - Community Corral,1849
119,45.51816567,-122.6924908,SW 18th at Jefferson,10989
130,45.5264914,-122.6842918,,5284
199,45.5240259,-122.6505684,,142
122,45.511907,-122.6294804,SE 34th at Hawthorne,10311
143,45.5237627,-122.6774774,,1108
359,45.5172159,-122.655687,,684
125,45.56274555,-122.6480594,NE 17th at Killingsworth - Community Corral,1666
236,45.56453067,-122.6305372,NE 33rd at Jarrett (Kennedy School) - Community Corral,1467
126,45.51186486,-122.6210475,SE 40th at Hawthorne,5389
940,45.5284672,-122.656532,,339
189,45.51158277,-122.682281,Urban Center Plaza at SW 6th St,7851
181,45.51147657,-122.6662856,SE Clay at Water,17853
325,45.5590672,-122.6419218,,130
129,45.5193552,-122.6556728,,262
139,45.5257661,-122.6536009,,197
629,45.5198656,-122.6758501,,774
133,45.52649493,-122.6416328,NE Glisan at 24th,6970
147,45.5255177,-122.6984635,,183
154,45.51844688,-122.651685,SE 14th at Stark,9704
132,45.5191991,-122.6762108,,1391
134,45.53140997,-122.6574612,NE Multnomah at 9th,10566
136,45.5231391,-122.6723799,,4040
265,45.5314628,-122.685491,,3166
137,45.5290819,-122.6985965,,871
138,45.55458563,-122.6755413,N Mississippi at N Skidmore,6447
168,45.5027677,-122.6714408,Tilikum West at SW Moody,20496
156,45.5379577,-122.6886206,,579
166,45.5300616,-122.6844243,,5329
141,45.5120789,-122.6381592,,179
2062,45.5186777,-122.6657908,,77
151,45.5230046,-122.6801058,,1347
142,45.5193586,-122.6566872,,940
148,45.5236962,-122.6811554,,913
149,45.5256856,-122.6893362,,470
150,45.50624163,-122.6633379,SE 2nd Pl at Tilikum Way,19468
152,45.5308296,-122.6814121,,549
153,45.5175793,-122.6725072,,716
170,45.51936283,-122.6359928,SE 29th at Stark,3532
155,45.5388948,-122.6901714,,1564
159,45.5205931,-122.637238,SE 28th at Pine - Community Corral,2422
160,45.55645437,-122.6603794,NE Going at Grand,6783
161,45.5160179,-122.6842822,,1661
162,45.5555064,-122.6605467,,196
164,45.5136673,-122.6607821,,771
165,45.5287476,-122.6776586,,279
171,45.5229504,-122.6831526,,2990
202,45.5230674,-122.6764857,,1978
169,45.5236794,-122.6821551,,1287
172,45.5644626,-122.6306698,,105
174,45.5229602,-122.6627544,,1448
343,45.519382,-122.6637877,,4282
178,45.5350668,-122.6575995,,633
176,45.5129509,-122.6597725,,2210
196,45.5120427,-122.6182826,,222
179,45.51507401,-122.6870298,SW 12th at Clay,5940
397,45.5193653,-122.6586964,,138
192,45.5120745,-122.6337819,,184
281,45.52771962,-122.6603526,Metro Campus - Community Corral,1997
182,45.5115447,-122.6658674,,420
183,45.53290424,-122.68626,NW Pettygrove at 15th,12914
184,45.5533235,-122.6667569,,267
185,45.5218947,-122.6834357,,1048
186,45.5152281,-122.6870389,,200
187,45.54471503,-122.6667845,N Morris at Williams,5522
188,45.5347847,-122.6988093,,630
190,45.55908767,-122.6407517,NE Alberta at 24th - Community Corral,1117
191,45.5627419,-122.6889932,N Killingsworth at Gay - Community Corral,868
200,45.5128821,-122.6229264,,746
193,45.5197472,-122.6782504,,1684
195,45.5229341,-122.6597069,,1361
197,45.5546279,-122.6755257,,2054
198,45.518278,-122.6813236,,1398
227,45.52990305,-122.6628363,NE Holladay at MLK,7237
201,45.5231051,-122.6744101,,440
292,45.523048,-122.6774256,,1572
203,45.5136276,-122.6838551,,523
204,45.5153522,-122.6846459,,961
205,45.51649676,-122.6307517,SE Belmont at 33rd,7412
