Time Period,Median Trip Distance (miles),Median Trip Duration (minutes),Average Trip Distance (miles),Average Trip Duration (minutes),Average Trips per Day,Total Trips,Total Distance (miles)
all,1.38,11.1,1.91,16.7,1181,1597200,3058128
2020-Q3,1.72,12.9,2.45,20.1,73,6700,16428
2020-Q4,1.52,11.2,2.23,18.6,383,35200,78461
2021-Q1,1.46,10.8,2.15,18.5,397,35700,76880
2021-Q2,1.59,12.4,2.25,19.8,1023,93100,209395
2021-Q3,1.58,11.9,2.18,18.4,1487,136800,298246
2021-Q4,1.32,9.8,1.83,14.9,836,76900,140898
2022-Q1,1.31,9.6,1.84,14.9,851,76600,140667
2022-Q2,1.43,10.6,1.96,16.0,1513,137700,269524
2022-Q3,1.48,11.7,2.02,17.1,2411,221800,449189
2022-Q4,1.28,10.3,1.76,15.2,1405,129300,227475
2023-Q1,1.22,10.2,1.66,14.8,1041,93700,155068
2023-Q2,1.36,11.7,1.85,17.0,1886,171600,318128
2023-Q3,1.32,11.5,1.83,17.1,2530,232800,426020
2023-Q4,1.21,10.2,1.69,15.5,1621,149100,251748
