Segment Name,Percentage of Matched Trips,Count of Matched Trips,Shared Streets Geometry ID
Willamette Greenway Trail,3.9,"60,600",9a24b64a7e1b2f2bb0b7b157d4ed99be
Willamette Greenway Trail,3.7,"57,600",a900da7d9a96630bade435caec04d361
Waterfront Park Trail,3.7,"57,700",cc185b15c11cc641882c2ad3d067e8cd
Waterfront Park Trail,3.7,"58,700",f3d4a61a30e70827458641d721e647c7
Waterfront Park Trail,3.7,"58,800",360f1695094ad232b8c67588efee8bc0
Willamette Greenway Trail,3.7,"58,900",c183c5513b810a34d084ab131bf9e013
,3.5,"54,900",d50d0ba26a116eb01a0d18e706aeb18c
Willamette Greenway Trail,3.4,"52,700",0ab29a2a7c2a066faee31b634cbc73d0
Vera Katz Eastbank Esplanade,3.4,"53,200",57e7e5293b9209816271bdb322770a72
Willamette Greenway Trail,3.4,"53,700",bb0deaa66710e36604180b799fbb525d
Willamette Greenway Trail,3.4,"54,000",543d61ee6e33c4d750b34471a87ae1c4
Willamette Greenway Trail,3.3,"51,200",0c5fd40e2a5b26d6877b333ec8fc7f76
Willamette Greenway Trail,3.3,"51,200",220c89a10b35a2fab3ef1b125c860dc3
Burnside Bridge,3.3,"51,400",81c1c6943bca29aa12070668f617db22
Willamette Greenway Trail,3.3,"52,000",be51ee715bff1522f1d4ab9848145d50
Willamette Greenway Trail,3.2,"49,700",d09ff3c0f09ce204b15e109859f665f7
Northwest Lovejoy Street,3.2,"50,100",9995eed015f47e227807bc8a51a1aba3
Vera Katz Eastbank Esplanade,3.2,"50,400",b023f4b91d51c7ef57a651da04ce999d
Willamette Greenway Trail,3.2,"50,800",0f117e4d08a523cc6bb7938fb66b3bc2
Vera Katz Eastbank Esplanade,3.1,"48,100",dc3614aa6f3e2ae49d737a9cf9bc47c6
Northwest Broadway,3.1,"48,300",c85b8e5221f4c1dac6c66b865517ff99
Vera Katz Eastbank Esplanade,3.0,"46,600",4600f4b23510122b1856f07d55f5a358
Waterfront Park Trail,3.0,"46,900",1079fc55c4d8e300a1eab65c89d69a49
Willamette Greenway Trail,3.0,"46,900",64ed543b5ee8115df800ffec703ba28a
Willamette Greenway Trail,3.0,"47,500",1788ee4ce4321e98e38942eb4f52cf6f
Waterfront Park Trail,3.0,"47,800",73823ad14ff370860018893b811ebe5a
Willamette Greenway Trail,3.0,"47,900",ac7fc9786dd0edf2d0b4b67c6f4c20ea
South Harbor Way,2.9,"44,900",6ec75dee7f582e4bba0b3eafcd21c70b
Vera Katz Eastbank Esplanade,2.9,"45,200",a485a40610d688d1de99379a4b06cecb
Southeast Division Place,2.9,"45,300",e8c2b354247031e8f74a176452856ddf
Southeast 2nd Place,2.9,"45,300",69a1fdcc877815a70b0d418c0917a8dd
Southeast Division Place,2.9,"45,500",f47fedcf7b247426a6a350fded67965e
Vera Katz Eastbank Esplanade,2.9,"45,700",16f3fb2e7e85d02fa44cc5f208bc06e8
Willamette Greenway Trail,2.9,"46,100",bcc81324f9e79d41934f70e97b6529fb
Vera Katz Eastbank Esplanade,2.8,"43,200",e879236d90725c36055c17399b9bfe58
Northwest Naito Parkway,2.8,"43,400",dc70e2e99f46efd9a664ba7e6d98191b
Northwest Naito Parkway,2.8,"43,600",d86cc85704bdd903c55e55e08cbf9b42
Northwest Naito Parkway,2.8,"43,700",527edfdfc921c1d63571483226629952
Southeast Division Place,2.8,"44,100",7f1c2e1f0789fa3e3b9105e1af5803b4
Southeast Division Place,2.8,"44,100",92eeabe03b6c64a9e2b7276f4030d651
Southeast Division Place,2.8,"44,200",9d87708175e73d4e0f2e82f278b30d98
South Harbor Way,2.8,"44,600",09ae7a99a7c75ab38abaab76e3c097c7
Vera Katz Eastbank Esplanade,2.8,"44,600",cc082df96bc6a72e5fd04b2c24e6b81a
Northwest 9th Avenue,2.7,"41,700",178001930bbe1cf7b89f10a02b69adad
Northwest Naito Parkway,2.7,"41,800",09c7e634b52b4489e741117f32769a7f
Vera Katz Eastbank Esplanade,2.7,"41,800",fadb10de710fcdf728b66f21e1dc23ed
Vera Katz Eastbank Esplanade,2.7,"42,000",1a4b25dbb02820c2fe24358527e64759
Northwest Naito Parkway,2.7,"42,100",5b1ad461833a9568a6540d528852ce5e
Broadway Bridge,2.7,"42,300",83ea5a55e97a2cfe78a95aa53f06f895
Northwest Naito Parkway,2.7,"42,300",a260238ecfdd0925d86259ff638aaece
Broadway Bridge,2.7,"42,300",e01bbb8322d7b361f4ff12442e1f5aba
Northwest Naito Parkway,2.7,"42,300",e1f70aa2ad8e60f362b00e0c038057b2
Vera Katz Eastbank Esplanade,2.7,"42,300",edcba6edad896fbd541bfeb0f16881e2
Willamette Greenway,2.7,"42,300",7342a4f63c1e94ea6b26c455a43a4309
Northwest Naito Parkway,2.7,"42,400",57d34d76709a33e5cf285223c05d893d
Northwest Naito Parkway,2.7,"42,400",a135286bed022a51986ab245cccd1c5a
Northwest Naito Parkway,2.7,"42,500",3da1078528bc0c45076d1ee1381ad869
Vera Katz Eastbank Esplanade,2.7,"42,600",85d1178a8d094235bcb1a6f6615b784f
Southeast 2nd Place,2.7,"42,900",270d39371131b5925fd75a398fbb3b15
Vera Katz Eastbank Esplanade,2.7,"43,000",65468725be975a0f9e4f3525d1d046e2
Northwest Naito Parkway,2.7,"43,000",b63df5e251e7e4be287e4170358373c1
Northwest Naito Parkway,2.7,"43,100",3de3485e9c669fc5cbc98ede78e71a37
Willamette Greenway Trail,2.6,"40,100",926c6355823e820458bf61e2c6dc7b6d
Vera Katz Eastbank Esplanade,2.6,"40,200",a6c56085b03d8f820bc81a3053fccc67
Vera Katz Eastbank Esplanade,2.6,"40,200",66d592aeefdda72af63f2f3375aa329a
Southeast Caruthers Street,2.6,"40,200",e487c25bd4fb46f2a12820279022e76f
Vera Katz Eastbank Esplanade,2.6,"40,400",462f64ed7d5ddf91ebcce65ad865817c
Broadway Bridge,2.6,"40,400",778bb0a41c6a1b5fc00fc16f9944bd67
Vera Katz Eastbank Esplanade,2.6,"40,400",fe38799629e71ec4010fd61bcabacba0
Southeast Caruthers Street,2.6,"40,400",6b077dd101418f6f3aef0922de72714c
Vera Katz Eastbank Esplanade,2.6,"40,500",093a75c81270d4c34cc2155dc42a56b8
Vera Katz Eastbank Esplanade,2.6,"40,500",ae173f12c5e6ca8b2a078d6338edb1d1
Vera Katz Eastbank Esplanade,2.6,"40,600",2a1c4e53adbf66fefb8ab21106c0d5c0
Vera Katz Eastbank Esplanade,2.6,"40,600",b85459234bb114b50cbf9ac7f0b06a3f
Vera Katz Eastbank Esplanade,2.6,"40,700",632ad6c6bd102ff3fa33dd1ed397ebec
Vera Katz Eastbank Esplanade,2.6,"40,700",f3813486256636aacbf540ecf75fabab
Southeast Grand Avenue,2.6,"40,800",bf7a0ce8cada05407ecc3690e67b2e7e
Willamette Greenway Trail,2.6,"40,900",3a0791d95c21927dbb2f71e5a945a65b
Vera Katz Eastbank Esplanade,2.6,"41,000",bc108d5eb727d1605e881d6707e5cf1a
Southeast Caruthers Street,2.6,"41,100",f551fc491c392bfbe935c18e38d7d82e
Southeast Caruthers Street,2.6,"41,200",1c9a9de192e67af754d570f87936bbc1
Vera Katz Eastbank Esplanade,2.6,"41,300",b7a6b732c4ffab74eed80c12f8d7ef44
Southeast Caruthers Street,2.6,"41,400",2b5c72e32bad169fdc59a3e9d6c1b2ab
Southwest Morrison Street,2.6,"41,400",5d920b372319140c1e8dc6693aa24ed2
Broadway Bridge,2.5,"39,100",091724a8cac1838f37394709799bfd4b
Southeast Clinton Street,2.5,"39,200",fe034bf90ff63d7af77e4cf75c9e0122
Vera Katz Eastbank Esplanade,2.5,"39,200",83e0be2c96da69742f9177bcf39dc5e8
Southeast 2nd Place,2.5,"39,300",33f3e56b89646b83d44c123c88a931c1
Vera Katz Eastbank Esplanade,2.5,"39,800",a328234bf07df1db6767a96ed5e9f599
Willamette Greenway Trail,2.5,"39,900",6c6b5b07fe9763c4d5af4342c80684f0
Northwest Broadway,2.5,"40,000",f0e126276268b07f0259a1f1e2845c18
Northwest Raleigh Street,2.4,"37,200",d4717d84878dca7fc4c764a92825981d
Northwest Couch Street,2.4,"37,300",d189e50a2222862630ec21592d576222
Northwest Broadway,2.4,"37,400",d0826b40da68920d1f6bbf7e2b8f564b
Northwest Broadway,2.4,"37,500",3443e4a00cb36f9c103d32e920a79b61
Eastbank Esplanade Access,2.4,"37,500",8407aba9ec2ff8223ce198a10e9f5c7a
Northwest Broadway,2.4,"37,600",6f96c2de7cefb1a084c029d241d2225c
Northwest 13th Avenue,2.4,"37,900",f43486e41906fec97947bc92327e75d4
Vera Katz Eastbank Esplanade,2.4,"38,100",2425e0c48808d09548913f8a9887cc9f
Northwest Broadway,2.4,"38,100",27b9696903430541bedeb5f6454a50ad
Southeast Division Place,2.4,"38,300",fe23a59e558fce2df3789edd525635cc
North Broadway,2.3,"35,400",60bc47ebc584acda3bb619323fec153f
Northwest Overton Street,2.3,"35,600",10aa8725d3dbf6507c83062880f6ea5b
Northwest Broadway,2.3,"35,800",c49178e930736ac608156bf4839d99dd
Southeast Clinton Street,2.3,"35,900",0ef5aab367c4b0ca685593c16a50b157
Northwest Broadway,2.3,"35,900",57ded7bc8f4aa4e840ee46e34022a5f7
North Williams Avenue,2.3,"35,900",a8a55b8dc7924645e85c201493b74708
Southeast Caruthers Street,2.3,"36,000",0510d764a53606f25d7f014ab44a136e
Hawthorne Bridge,2.3,"36,100",1ee26e136782621d3d51145079819e69
Southeast Clinton Street,2.3,"36,200",0da6c4edf5cd8511a0b8d03560226f77
Southeast 7th Avenue,2.3,"36,200",3c3efd52fb52914a1aa2311bd8d72bf1
,2.3,"36,200",16c099cae2c4aa87f8ddf0e1fddfe5ca
Southeast Clinton Street,2.3,"36,300",e337ce4c304fa36be057a7385cb39a99
Southeast Caruthers Street,2.3,"36,300",42edf5b2dbd48316314331a4cd0bf2e9
Southeast Caruthers Street,2.3,"36,300",77a68ef1da5ed5f77269e8b0c5f036c2
Northwest Naito Parkway,2.3,"36,400",fc76efe9b29d9b964e36d1634859dd9a
Southeast Caruthers Street,2.3,"36,800",31f4e4715dac82d60a9044063363ca7b
Southeast Caruthers Street,2.3,"36,800",9b028c49dd08e5af5ca482288b753ac0
Southeast Clinton Street,2.3,"36,900",cc0e6f92392bd63bae3f6a440b65e9a3
Southeast 2nd Place,2.2,"33,800",59822d5883deb135444c8c4fbf9707ae
Northwest Broadway,2.2,"33,900",12a9229b277bf286dcfe6a855728ab42
Southeast Clinton Street,2.2,"33,900",d249d0a3cda9a0fff028233a4dc47a03
Southeast 2nd Place,2.2,"33,900",24bbea55e73b7094a15e21a5e2f4b195
Southeast Clinton Street,2.2,"34,000",7472fd3fff71cdcbac76538f1e57d6d8
Northwest Broadway,2.2,"34,000",d0016cdb33ab47859f3798a1560c0beb
Northwest 9th Avenue,2.2,"34,100",d5447b7a522cec884aa1f819f1c114c4
,2.2,"34,100",f047ac80cf5023fef6622030477b6b9b
Moody Avenue Trail,2.2,"34,200",bff035d34849636393d86857081d814a
Northwest 13th Avenue,2.2,"34,200",c4b6330c03003d8783514ea5a7defb4a
Northwest Flanders Street,2.2,"34,300",c8ad8bef17f100ce4d6a102e795b7d42
Northwest Flanders Street,2.2,"34,400",1337cb5fd7fe109b83ed7eb7fe6268f1
Northwest Broadway,2.2,"34,500",bcf9b519bd59b1da4a54c665218de036
Moody Avenue Trail,2.2,"34,500",5d44e13894590496be04af4681e5e360
Northwest Couch Street,2.2,"34,600",3b11a110f2cb1c8622e538b6b3c2800a
Southeast Clinton Street,2.2,"34,600",6a7f34f88289ad7f1b5a721f2cbcbb91
Broadway Bridge,2.2,"34,700",8d6aaaa094655e528687c84fac7db12c
North Broadway,2.2,"35,000",b6abd908dc465861ffda7b0731c2dc5b
Southeast 2nd Place,2.2,"35,100",b13a0809eea9bbee9dd1865def300769
,2.2,"35,200",67e873f052a0f3e9a33366abb9c6fc11
,2.1,"32,300",e39d764ac8f22a179695eff3aec45478
North Interstate Avenue,2.1,"32,400",3def9c26dc83acea1cc5dcdaaaf26078
North Broadway,2.1,"32,700",56376e3c4611c1443ac6f1c2d9631da9
Willamette Greenway Trail,2.1,"32,800",1927a5fb67ec665812d6ace93a66ff38
Willamette Greenway Trail,2.1,"32,900",380b3b51ba912f75223cc3af51593f61
Willamette Greenway Trail,2.1,"32,900",9c4ca012dcaf7db5df83070e0b74967d
North Broadway,2.1,"33,000",03d5ae4a3800c849b9e3735d26c4f4f0
Willamette Greenway Trail,2.1,"33,000",5cda63ad8b67c144ad1bce42b1f638ab
North Broadway,2.1,"33,100",cbe9fd938028e2b0339d15b2ace167a2
Northwest Flanders Street,2.1,"33,200",f61f094506afe0f3896a6dfe2c4c5d46
North Broadway,2.1,"33,300",72a3a758fb6dfe01bb761616782d5208
North Broadway,2.1,"33,300",758bb9a9a7dc7f8473a808c13e528001
North Broadway,2.1,"33,300",76f3c30322da745728fd9a91565499bc
North Broadway,2.1,"33,300",c798e47116d2babdc7f82c7569aae39e
North Broadway,2.1,"33,400",3f59b5320947baf89d42a48e433c1d71
North Broadway,2.1,"33,400",fdc93945901ee2d1f21d4ebf89abfc1f
Northwest Flanders Street,2.1,"33,400",089fdeaf81186159fa281eb1fb0346a8
Northwest Broadway,2.1,"33,500",aeadc14de00e2fd749f1adf63177b070
Northwest Broadway,2.1,"33,600",8b721f539666dfbe46e0ac296574ef06
,2.1,"33,600",997ab03151db6211179b722284bdeb2d
North Broadway,2.1,"33,600",ac69f19e174ad15efbc8c2a7d5d6078c
Northwest Overton Street,2.1,"33,700",f8ccf32685f0f5b89a21ff1a298ed258
Southeast Clinton Street,2.0,"30,700",37c51a64aa08fb15f84cbe9f468ee9c7
Harbor Path,2.0,"30,700",69c64f0e6bb16425422df2e7db5ee498
Northwest Overton Street,2.0,"30,700",bc282bf411b84a04dc1d7aa434e6df1c
Northwest Lovejoy Street,2.0,"30,800",0f3e2c302daf18b15990d3dcb0d0e064
Northwest Couch Street,2.0,"30,800",51275d4cd9c9f7a0ffb7a2394755493b
Southeast Clinton Street,2.0,"30,800",520e5a105b3d84d89175e1588ae20746
Northwest Couch Street,2.0,"30,800",a3d0bef7d4b21fa4449db8639c56b82b
Southeast Clinton Street,2.0,"30,900",48d7ffb2fd659f2e00339ebc5230bf3a
Southeast Clinton Street,2.0,"30,900",8e7bc347a758dc2271f47b84e78dabe0
Moody Avenue Trail,2.0,"30,900",c29bad392e145bf2ddbee380541c0391
Northwest Couch Street,2.0,"30,900",f0ab26eff45f3f0dbedce2cd3f2ae3c9
Northwest Couch Street,2.0,"31,000",5f91853c1e9241b8a713a795dba9888f
Northwest Broadway,2.0,"31,200",c0964e83f1272ba610744860b8aba0b0
Willamette Greenway Trail,2.0,"31,300",0a8130bfbc35988674401656d7c9b0eb
Northwest Broadway,2.0,"31,300",206f0994dbbc5446ae07b6357d340622
North Broadway,2.0,"31,300",985fb4a3eb77fb8d1c4c9d70d5f27f24
North Williams Avenue,2.0,"31,300",9c874ca5d5e9fd3fd6d26524208d7d27
Vera Katz Eastbank Esplanade,2.0,"31,300",fef4a98bf58555692fb1c6f9806e1dc4
Northwest Couch Street,2.0,"31,400",91b0eac8f89590316a9e8a28f5098dc6
Northwest 13th Avenue,2.0,"31,400",b3c3efd24b06cf293c0cd80b7182045f
Southeast Clinton Street,2.0,"31,500",adc34c165a004adabd47f8659f93f539
Hawthorne Bridge,2.0,"31,600",3844bc2fa04afa6fdd6ae214a26223d4
Southwest Naito Parkway,2.0,"31,700",78bd2766145927c56cd73e2649608716
Southeast Clinton Street,2.0,"32,000",190defd7c52cc31306bef9e826431401
Northwest Broadway,2.0,"32,000",650dcb21746540cb9d5ae073c89b894c
Northwest Marshall Street,2.0,"32,100",cf18c2fd0c6beef4a545caa5851c57ce
Northwest Flanders Street,2.0,"32,100",c7194a2926f86036cc798dec780acb4a
Northwest Couch Street,2.0,"32,200",40dc9eeaa507d720f459450400a5c038
Northwest 13th Avenue,2.0,"32,200",c48520619998e0c4026400ca796983ee
Northwest 13th Avenue,1.9,"29,100",4e890df086d4633f17e644de317dbea0
,1.9,"29,200",17365ee5c2dc20b93307d82e0196f252
North Williams Avenue,1.9,"29,200",c9e9b8323b3a97230329aec93e066157
Northwest Couch Street,1.9,"29,200",e68796fd87bc9d689dbd865f8bd893bd
Moody Avenue Trail,1.9,"29,300",018bb40e4e03bbc415ce52168c9cb21e
Northwest Broadway,1.9,"29,300",3323311dec98d63af52dc66598e77b92
Northwest 13th Avenue,1.9,"29,300",4e32f390e0e8847d720b2279aaf1e8a1
North Vancouver Avenue,1.9,"29,300",5f37c809fdd5af3f83e73efef66f9c34
North Vancouver Avenue,1.9,"29,300",a34f37edcb0de596b4d7f362bfc05a39
Vera Katz Eastbank Esplanade,1.9,"29,300",0e23eeddeefa68cd5b72770f9e225d16
North Vancouver Avenue,1.9,"29,400",6ab87ca689c0f8c5c8f586a749d38112
North Williams Avenue,1.9,"29,400",96c9ef91d142cdc69168c6bd426654a9
Northwest Couch Street,1.9,"29,400",baa89aaeaa7dd8634787f3f11dc1ec77
Northwest Flanders Street,1.9,"29,400",25e9e9b4619f14fa9891b35fab207007
Willamette Greenway Trail,1.9,"29,500",0526b8841198e7bdeafcc30366eed48f
Northwest Flanders Street,1.9,"29,500",7a45c6d888e4f90b53878eb55422f81c
Northwest 13th Avenue,1.9,"29,600",3d64fa7b658f5109ee1e6c327f991f8c
Northeast Lloyd Boulevard,1.9,"29,600",f834f1ab134fda7d35da1e9517c47733
Northwest 13th Avenue,1.9,"29,600",234730b3fb4cb491ca8f3aac19aa7296
North Vancouver Avenue,1.9,"29,700",00f1a3933f053f07928bbf6b5c1cc430
Northwest 9th Avenue,1.9,"29,700",0a9f3558db79b17e543045c50bd8a493
Northwest Marshall Street,1.9,"29,700",61e9002a4d147ba75508e1be57b0abf9
Northwest Couch Street,1.9,"29,700",6686f7f69195ea45c861bcd10bc4c11d
Northwest 13th Avenue,1.9,"29,800",266d147356d84ba0a0efdd8be554bee7
North Williams Avenue,1.9,"29,800",c69711e416006ec968740c9b00b5e3ac
North Williams Avenue,1.9,"29,800",e2e0868806564c2709c7176e0f8a0e87
North Williams Avenue,1.9,"29,900",e265cbad55f9bac86621f651f9bd8f88
North Vancouver Avenue,1.9,"30,000",3db75c54bd410b2860edbaf456c54b3e
Northwest 13th Avenue,1.9,"30,000",82f5aa3678f64fcd34809e9ad863f600
North Williams Avenue,1.9,"30,000",84737693563ef72982c53324e89e3208
Northwest 13th Avenue,1.9,"30,000",d6ec1994258890f257a84b922a98ac97
Northwest Overton Street,1.9,"30,000",54fd90e8708bcc3016ce1b945b88bb8b
Southwest Naito Parkway,1.9,"30,100",50c53941de4ba2cfbd852f28cebc81d6
North Williams Avenue,1.9,"30,100",aa676887a78b09226c0badbf89734a2a
,1.9,"30,200",8506ad80205cf0c2ad88f2f350b7690c
Southeast Clinton Street,1.9,"30,200",fabdff0204c9ab9a9ae7be1c6ebc66ef
Harbor Path,1.9,"30,400",3d664a117feaabe291ebfe1ecc9b586f
Moody Avenue Trail,1.9,"30,400",566b4c73c6928e11272c693e16e80319
Northwest Couch Street,1.9,"30,500",3167e2de5044f93c913595841dd5ae30
Harbor Path,1.9,"30,500",fd2fb332f6dbc7ad83731c64542f41a0
Northwest Couch Street,1.9,"30,500",ffcc4c1fb16422bcac20e2b4212e3e3e
,1.9,"30,600",6de73278f11466aa14c9fa2e19fc8e63
Moody Avenue Trail,1.9,"30,600",b0f02c5dc48c85dbfda8116a2e80a454
North Weidler Street,1.8,"27,500",df8b8a465371f2864b77570d1f5a8e7d
Northwest 13th Avenue,1.8,"27,500",9fcacdb353ddc68d59eef2bb29dc71b1
Northwest 13th Avenue,1.8,"27,600",d2f566de76332943de9bc5dcca2fb98d
Northwest Flanders Street,1.8,"27,600",afd3436481805a2e8a676d1af4a7d483
Southeast Ankeny Street,1.8,"27,700",2a023ea055fb9a264ae9c16b025a5d0f
Southeast Clinton Street,1.8,"27,700",3e3e981db74858c0f37d25586d22963e
Broadway Bridge,1.8,"27,700",9eb1e42168a90d4a9e773c37744d8370
Northwest 13th Avenue,1.8,"27,700",b9516d775e929dbc451d23d86121600c
North Vancouver Avenue,1.8,"27,700",0e1e0ab0b7981557a12988191eb4455c
North Williams Avenue,1.8,"27,700",c0739558546dde68db20dddc2e8b320e
North Vancouver Avenue,1.8,"27,700",ded1d5c02b710b326e63fd36fb0bcd0d
Southeast Ankeny Street,1.8,"27,800",ed1f127099ac619bdb39c63f175a3a7a
Northwest 9th Avenue,1.8,"27,800",20f9ce099c62ac5a3d76217a7cce382e
Northwest Johnson Street,1.8,"27,800",0ff89ad638e6a2a935bac40613d17f97
Northwest Marshall Street,1.8,"27,900",0362af8dfb814836ac14542181b2aa47
North Weidler Street,1.8,"27,900",1648a3f061989953b48416ec2351bd23
Northwest 13th Avenue,1.8,"27,900",4dbe07060ed5ed428d646eac399d7eb9
Northwest Flanders Street,1.8,"27,900",d613bd043e895828c19e139c885b8e4c
Southeast 2nd Place,1.8,"27,900",1cc8107710cb43b3ae16468c5c33a71f
Northwest 13th Avenue,1.8,"27,900",69092925d46dca3bc8945938dd037f10
North Williams Avenue,1.8,"27,900",f1afc142895f08ac1d388e1789272397
North Williams Avenue,1.8,"27,900",2c3db4b0e304b0846dfec78bf891627d
Broadway Bridge,1.8,"28,000",79f567990ebb5414a17b99fe029071c1
Northwest Couch Street,1.8,"28,000",f83ca58cd5798ccc63509a085f79c13c
Northwest Flanders Street,1.8,"28,000",aaddf919015464357cf94f47c9c227b2
Hawthorne Bridge,1.8,"28,100",040cd7c330ed92719e3b37ee13520393
Northwest 13th Avenue,1.8,"28,100",1260a021eb081f8d1dfc712c4cbf2b4e
Southwest 18th Avenue,1.8,"28,100",b2e47f881919c42f340528512414f503
Northwest 13th Avenue,1.8,"28,200",37377a373eab0b053d8118be79b1c04c
Southeast Madison Street,1.8,"28,200",fcc507ce59be1225df1741a4885f3483
Southeast Clinton Street,1.8,"28,200",e33a2832ea33972818cd1ec19578abb6
Northwest 9th Avenue,1.8,"28,300",a779d65cb066e61dab5f7275387428bf
Northwest Couch Street,1.8,"28,300",ed7efafb505a112cb006084964ee9930
Northwest Flanders Street,1.8,"28,300",1701488ba55d7c2d573fbb5a4d5697f1
Northwest Flanders Street,1.8,"28,300",c312fa0393a9fcb20bb3e9e4be690877
Southeast Clinton Street,1.8,"28,400",2c5e833e3317f6257196627ef2016a24
Northwest 13th Avenue,1.8,"28,400",4b34e00c3939b0e8cc88d0f34db2c145
Southeast Clinton Street,1.8,"28,400",4f02472a3787ef9980006add50398b0f
Willamette Greenway Trail,1.8,"28,400",77b17195b8f8bf7ed0b09e4d4c4bf005
North Vancouver Avenue,1.8,"28,500",27dca3e6c1385347d873ad36ad5d5d18
North Vancouver Avenue,1.8,"28,500",734efce20a1c224c161da8abb23bace7
North Williams Avenue,1.8,"28,500",9268063ffbf039024faafcef70548d15
Northwest Flanders Street,1.8,"28,500",c15051311a3bd4568cabe125e95ec3d1
North Williams Avenue,1.8,"28,500",090c9e8899a13994acee3cc961ffa860
Southeast Clinton Street,1.8,"28,500",54f9f043c489a8fe4e7fc4cbae2b4064
North Williams Avenue,1.8,"28,600",2b060072e48c01c31e043afa33ee7e76
North Williams Avenue,1.8,"28,600",58af1dc106edc14483fca6df3d045a12
North Vancouver Avenue,1.8,"28,600",79c19598c6ed35e4510c1309a13cf85e
North Vancouver Avenue,1.8,"28,600",99218a1bb824bbbb951ac09192a94e6f
North Williams Avenue,1.8,"28,600",c8ff9538f0511389dff1c0105bf54d12
Northwest Marshall Street,1.8,"28,600",dfb1c2caa7fdda426882335ce698b206
North Vancouver Avenue,1.8,"28,600",eb09a14ade455e191870b6aacd1dfc7c
Northwest 9th Avenue,1.8,"28,600",f33ada9833e0d838818e5f8b1c87a353
Southeast Division Street,1.8,"28,600",002774da3285896e4a1569b4f6207d66
